id,type,level,question_type,text,question,option_1,option_2,option_3,option_4,correct_answer,explanation
1,reading,topik_1,vocabulary_match (31-33),지금은 아침입니다. 여덟 시입니다.,무엇에 대한 이야기입니까?,사람,나이,계절,시간,시간,"The text mentions “morning” and “8 o’clock,” so it is about time. The other options are unrelated to the passage."
2,reading,topik_1,vocabulary_match (31-33),오늘은 집에 있습니다. 쉽니다.,무엇에 대한 이야기입니까?,나라,휴일,쇼핑,직업,휴일,"The text says the person is resting at home today, which suggests a holiday or day off. The other choices do not match the context."
3,reading,topik_1,vocabulary_match (31-33),저는 바지를 좋아합니다. 치마는 안 입습니다.,무엇에 대한 이야기입니까?,옷,값,일,집,옷,"The passage talks about pants and skirts, which are types of clothes. Therefore, the topic is clothing."
4,reading,topik_1,grammar_fill_blank (34-39),저는 ( )에 갑니다. 공부를 합니다.,( )에 들어갈 가장 알맞은 것을 고르십시오.,한국,학교,여행사,백화점,학교,"The sentence says “I go to ___ and study,” so “school” is the only logical answer. The other places are not primarily for studying."
5,reading,topik_1,grammar_fill_blank (34-39),전화합니다. 친구와 ( ).,( )에 들어갈 가장 알맞은 것을 고르십시오.,줍니다,줍니다,읽습니다,이야기합니다,이야기합니다,The phrase “talk on the phone with a friend” naturally matches “이야기합니다.” The other verbs do not fit the context.
6,reading,topik_1,grammar_fill_blank (34-39),길에서 은행이 ( ). 길 앞에 있습니다.,( )에 들어갈 가장 알맞은 것을 고르십시오.,비슷합니다,가깝습니다,깨끗합니다,시원합니다,가깝습니다,"The second sentence says the bank is “in front of the road,” indicating it is near. Therefore, “가깝습니다” is the best choice."
7,reading,topik_1,grammar_fill_blank (34-39),저는 보통 버스를 탑니다. ( ) 지하철을 탑니다.,( )에 들어갈 가장 알맞은 것을 고르십시오.,가끔,빨리,아주,항상,가끔,"The sentence contrasts usual behavior with occasional subway use. “Sometimes” fits naturally, while the other options do not match the meaning."
8,reading,topik_1,grammar_fill_blank (34-39),오늘은 수민의 생일입니다. 저는 수민( ) 선물을 했습니다.,( )에 들어갈 가장 알맞은 것을 고르십시오.,토,폰,에서,에게,에게,The verb “give a present” requires the indirect object marker “에게” for the receiver. The other particles are grammatically incorrect here.
9,reading,topik_1,grammar_fill_blank (34-39),형이 아직 안 왔습니다. 형을 ( ).,( )에 들어갈 가장 알맞은 것을 고르십시오.,합니다,보냅니다,기다립니다,가르칩니다,기다립니다,"Since the older brother has not arrived yet, the speaker is waiting for him. The other verbs do not fit the situation."
10,reading,topik_1,notice_ad_understanding (40-42),축구 동아리 모임• 언제: 매주 금요일 저녁 6시• 어디서: 학교 운동장,다음을 읽고 맞지 않는 것을 고르십시오.,금요일에 합니다.,같이 축구를 합니다.,모임은 오전에 있습니다.,학교 운동장에서 만납니다.,모임은 오전에 있습니다.,"The notice clearly says the meeting is at 6 p.m., which is in the evening, not in the morning. The other statements match the notice."
11,reading,topik_1,notice_ad_understanding (40-42),"김치 라면계란이 들어 있어요!1,200원",다음을 읽고 맞지 않는 것을 고르십시오.,싼 라면 가게입니다.,라면은 이제 없습니다.,이 라면은 김치 맛입니다.,이 라면에 계란이 있습니다.,라면은 이제 없습니다.,The advertisement says the ramen contains egg and is kimchi flavor. It does not say the ramen is sold out.
12,reading,topik_1,notice_ad_understanding (40-42),"마이클 씨, 오늘 시간이 있어요?친구들이 오늘 집에 와서 같이 집에서 영화를 볼 거예요. 마이클 씨도 오세요.",다음을 읽고 맞지 않는 것을 고르십시오.,마이클 씨가 문자 메시지를 받습니다.,마이클 씨는 지금 미영 씨와 있습니다.,미영 씨는 오늘 친구들을 만납니다.,미영 씨는 오늘 집에서 영화를 볼 겁니다.,마이클 씨는 지금 미영 씨와 있습니다.,"The message invites Michael to come, but it does not say they are together now. The other statements are supported by the message."
13,reading,topik_1,short_reading_comprehension (43-48),우리 집에서는 제가 요리를 합니다. 한국 음식도 잘하고 다른 나라의 음식도 잘 만듭니다. 매일 식구들과 같이 먹습니다.,다음의 내용과 같은 것을 고르십시오.,가족들은 밖에 요리를 합니다.,저는 한국 음식을 잘 만듭니다.,가족들은 하루에 음식을 안 먹습니다.,저는 다른 나라 음식을 잘 못 만듭니다.,저는 한국 음식을 잘 만듭니다.,The passage says the speaker cooks Korean food well. The other statements contradict or are unrelated to the text.
14,reading,topik_1,short_reading_comprehension (43-48),오늘은 연주시에 비가 많이 오겠습니다. 오후부터 비가 오고 밤에는 비가 오지 않겠습니다. 내일은 날씨가 맑겠습니다.,다음의 내용과 같은 것을 고르십시오.,내일은 비가 내릴 것 같습니다.,오늘 밤에 비가 많이 올 겁니다.,오늘 오후에 비가 오지 않을 겁니다.,연주시에 오후부터 비가 내릴 겁니다.,연주시에 오후부터 비가 내릴 겁니다.,The weather report says rain will start in the afternoon in Yeonju City. The other choices contradict the forecast.
15,reading,topik_1,short_reading_comprehension (43-48),제 취미는 가구 만들기입니다. 주말에는 나무를 사서 책상을 만듭니다. 어제는 가구를 만들었습니다.,다음의 내용과 같은 것을 고르십시오.,저는 가구를 많이 만납니다.,저는 주말에 가구를 만듭니다.,저는 책상을 많이 만들었습니다.,저는 의자를 잘 만들었습니다.,저는 주말에 가구를 만듭니다.,The passage states that the speaker makes furniture on weekends. The other statements are not mentioned or are incorrect.
16,reading,topik_1,short_reading_comprehension (43-48),오늘 자동차 박물관에 갔습니다. 박물관이 작고 자동차도 많지 않았습니다. 내년에 더 큰 박물관이 나옵니다.,다음을 읽고 생각을 고르십시오.,박물관에 다시 가고 싶습니다.,박물관이 더 크고 좋았습니다.,박물관에 자동차가 많았습니다.,박물관에 자동차가 너무 적었습니다.,박물관에 자동차가 너무 적었습니다.,"The speaker says the museum was small and did not have many cars, showing disappointment about the number of cars."
17,reading,topik_1,short_reading_comprehension (43-48),저는 한국을 한번 많이 보고 싶었습니다. 그래서 이번 방학에 한국에 가면 한복을 입고 사진을 찍고 서울을 구경합니다.,다음을 읽고 생각을 고르십시오.,한국 음식이 조금 싫었습니다.,한국을 자주 다니고 좋았습니다.,이번 방학 사진을 찍고 싶습니다.,한국에서 한복을 입어 보고 갈 겁니다.,한국에서 한복을 입어 보고 갈 겁니다.,The speaker says they want to wear hanbok and take pictures during the trip to Korea. The other options are unrelated or incorrect.
18,reading,topik_1,short_reading_comprehension (43-48),저는 게임 회사에 다니고 있습니다. 일도 재미있고 회사 사람들도 좋아합니다. 저는 이 회사에 오래 다니고 싶습니다.,다음을 읽고 생각을 고르십시오.,저는 게임을 하는 것이 좋아합니다.,저는 이 회사 일상을 좋아합니다.,저는 이 회사에 계속 일하고 싶습니다.,저는 회사에서 같이 일하는 사람들이 좋습니다.,저는 이 회사에 계속 일하고 싶습니다.,The speaker explicitly says they want to continue working at the company for a long time. The other options are either indirect or less accurate.
19,reading,topik_1,paragraph_fill_blank (49-56),저는 요즘 공연 보는 것을 좋아합니다. 요즘에는 바빠서 공연을 거의 보지 못했습니다. 오늘은 일이 빨리 끝나서 오랜만에 친구와 같이 공연을 봅니다. 공연을 보니 너무 신나고 좋았습니다. 공연을 보고 나올 때 ( ).,들어갈 알맞은 말을 고르십시오.,보고 싶습니다,비가 왔습니다,보고 있었습니다,볼 수 없었습니다,비가 왔습니다,"The sentence describes what happened after leaving the performance. “It rained” fits naturally as a following event, while the other options do not match the context."
20,reading,topik_1,paragraph_fill_blank (49-56),저는 요즘 공연 보는 것을 좋아합니다. 요즘에는 바빠서 공연을 거의 보지 못했습니다. 오늘은 일이 빨리 끝나서 오랜만에 친구와 같이 공연을 봅니다. 공연을 보니 너무 신나고 좋았습니다.,이 글의 내용과 같은 것을 고르십시오.,저는 요즘 시간이 많습니다.,저는 오늘 일을 쉬었습니다.,저는 친구와 공연을 자주 봅니다.,저는 공연을 봐서 기분이 좋았습니다.,저는 공연을 봐서 기분이 좋았습니다.,The passage says the speaker felt excited and happy after watching the performance. The other statements are incorrect or unsupported.
21,reading,topik_1,paragraph_fill_blank (49-56),집에는 보통 집에서 항상 열쇠를 사용했습니다. 그런데 요즘은 꼭 열쇠가 필요하지 않습니다. 거기에는 번호를 사용합니다. 카드도 넣고 누를 수도 있습니다. ( ) 사람마다 모두 번호를 사용할 수 있습니다. 요즘은 이렇게 다양한 방법을 씁니다.,들어갈 알맞은 말을 고르십시오.,그리고,그래서,그러면,그렇지만,그리고,"The sentence adds another method or explanation about using numbers, so “그리고” (and) connects the ideas naturally."
22,reading,topik_1,paragraph_fill_blank (49-56),집에는 보통 집에서 항상 열쇠를 사용했습니다. 그런데 요즘은 꼭 열쇠가 필요하지 않습니다. 거기에는 번호를 사용합니다. 카드도 넣고 누를 수도 있습니다. 사람마다 모두 번호를 사용할 수 있습니다. 요즘은 이렇게 다양한 방법을 씁니다.,무엇에 대한 이야기인지 맞는 것을 고르십시오.,열쇠가 사용되는 곳,열쇠로 할 수 있는 일,문을 여는 여러 가지 방법,문을 열 때 카드를 쓰는 이유,문을 여는 여러 가지 방법,"The passage explains several modern ways to open doors, such as passwords and cards. Therefore, it is about different methods of opening doors."
23,reading,topik_1,paragraph_fill_blank (49-56),저는 초등학교 때 친하게 지낸 친구가 한 명 있었습니다. 항상 같이 다녔습니다. 그런데 초등학교를 졸업한 후 그 친구는 부산으로 이사를 갔습니다. 서로 멀리 떨어져서 자주 만나지 못했고 이제는 연락이 잘 되지 않습니다. 그 친구를 볼 수 있으면 좋겠습니다. ( ).,들어갈 알맞은 말을 고르십시오.,졸업해도,졸업하자마자,졸업하고 나서,졸업하기 전에,졸업하고 나서,"The next sentence talks about what happened after graduation, so “after graduating” is the most logical connector."
24,reading,topik_1,paragraph_fill_blank (49-56),저는 초등학교 때 친하게 지낸 친구가 한 명 있었습니다. 항상 같이 다녔습니다. 그런데 초등학교를 졸업한 후 그 친구는 부산으로 이사를 갔습니다. 서로 멀리 떨어져서 자주 만나지 못했고 이제는 연락이 잘 되지 않습니다.,이 글의 내용과 같은 것을 고르십시오.,저는 그 친구와 연락을 할 수 있습니다.,저는 초등학교 때부터 부산에 살았습니다.,저는 초등학교에 다닌 후 이사를 갔습니다.,저는 그 친구를 이제 만나고 싶습니다.,저는 그 친구를 이제 만나고 싶습니다.,"The speaker says they wish they could see the friend again, showing they want to meet the friend now."
25,reading,topik_1,paragraph_fill_blank (49-56),동네시장 안에 작은 국수 가게가 하나 있었습니다. 그곳에는 70년이 된 작은 국수 가게가 하나 있었습니다. 얼마 전 이 국수 가게가 방송에 소개되었습니다. 그 후 동네시장의 분위기는 크게 달라졌습니다. 방송에 나온 후 이 국수 가게 앞에는 ( ) 동네시장도 밖에 유명해졌기 때문입니다.,들어갈 알맞은 말을 고르십시오.,일할 자리가 나서,바뀐 것이 없어서,먹는 물건이 많아서,오는 사람이 많아져서,오는 사람이 많아져서,"After the restaurant appeared on TV, more people started visiting. This explains why the market became more famous and crowded."
26,reading,topik_1,paragraph_fill_blank (49-56),동네시장 안에 작은 국수 가게가 하나 있었습니다. 그곳에는 70년이 된 작은 국수 가게가 하나 있었습니다. 얼마 전 이 국수 가게가 방송에 소개되었습니다. 그 후 동네시장의 분위기는 크게 달라졌습니다.,이 글의 내용과 같은 것을 고르십시오.,이 시장은 전과 달라진 것이 없습니다.,이 시장은 요즘에 사람이 거의 없습니다.,이 가게는 생긴 지 칠십 년이 되었습니다.,이 가게는 방송에 소개 후 문을 닫았습니다.,이 가게는 생긴 지 칠십 년이 되었습니다.,The passage clearly states that the noodle restaurant is 70 years old. The other statements contradict the text.
27,reading,topik_1,sentence_order (57-58),(가) 저는 종이컵을 많이 썼습니다.(나) 이제부터 그 컵을 쓰려고 합니다.(다) 그래서 가지고 다닐 컵을 샀습니다.(라) 그런데 종이컵은 바로 쓰레기가 됩니다.,다음을 순서대로 맞게 나열한 것을 고르십시오.,(가)-(다)-(나)-(라),(가)-(라)-(다)-(나),(나)-(다)-(라)-(가),(나)-(라)-(가)-(다),(가)-(라)-(다)-(나),"The passage starts with the speaker saying they used many paper cups. Then it explains the problem that paper cups quickly become trash. Because of this problem, the speaker bought a reusable cup, and finally says they will use that cup from now on."
28,reading,topik_1,sentence_order (57-58),(가) 회사원들의 이런 생활은 목에 좋지 않습니다.(나) 그래서 잠깐씩 일어나서 목 운동을 해야 합니다.(다) 또 목 주위를 따뜻하게 해 주는 것도 도움이 됩니다.(라) 회사원들은 오랜 시간 앉아서 컴퓨터를 보고 일합니다.,다음을 순서대로 맞게 나열한 것을 고르십시오.,(가)-(나)-(라)-(다),(가)-(다)-(나)-(라),(라)-(가)-(나)-(다),(라)-(다)-(나)-(가),(라)-(가)-(나)-(다),"First, the passage explains that office workers sit for a long time using computers. Then it says this lifestyle is bad for the neck. After explaining the problem, it suggests solutions such as doing neck exercises and keeping the neck warm."
29,reading,topik_1,connector_logic (59-62),저는 피아노 학원에 다닌 지 3년이 되었습니다. ( ㄱ ) 그렇지만 지금은 여러 노래들을 잘 칠 수 있게 되었습니다. ( ㄴ ) 피아노를 치면서 좋아하는 가수의 노래를 부르면 정말 즐거워집니다. ( ㄷ ) 피아노를 배우는 것이 정말 좋습니다.,다음 문장이 들어갈 곳을 고르십시오.처음에는 피아노를 전혀 치지 못했습니다.,ㄱ,ㄴ,ㄷ,ㄹ,ㄱ,"The sentence “At first, I could not play the piano at all” should come before “But now I can play many songs well.” The contrast with “그렇지만” makes ㄱ the correct position."
30,reading,topik_1,connector_logic (59-62),저는 피아노 학원에 다닌 지 3년이 되었습니다. 처음에는 피아노를 전혀 치지 못했습니다. 그렇지만 지금은 여러 노래들을 잘 칠 수 있게 되었습니다. 피아노를 치면서 좋아하는 가수의 노래를 부르면 정말 즐거워집니다. 피아노를 배우는 것이 정말 좋습니다.,이 글의 내용과 같은 것을 고르십시오.,저는 피아노를 배우러 다닙니다.,저는 피아노 학원을 그만두고 싶습니다.,저는 가수가 되기 위해서 피아노를 배웁니다.,저는 삼 년 전부터 학원에서 일하고 있습니다.,저는 피아노를 배우러 다닙니다.,The writer says they have attended a piano academy for three years and enjoy learning piano. The other choices are not supported by the passage.
31,reading,topik_1,connector_logic (59-62),저는 조금 전에 텔레비전을 보고 깜짝 놀랐습니다. 텔레비전에 제 동생이 크게 나왔기 때문입니다. 동생은 테니스 경기장에서 경기를 보고 있었는데 박수를 치면서 웃고 있었습니다. 동생의 모습을 텔레비전에서 본 것은 처음이었습니다. 매일 보는 동생이지만 동생의 얼굴을 텔레비전에서 보니까 ( ㄱ ) 새로운 기분이 들었습니다.,ㄱ에 들어갈 알맞은 말을 고르십시오.,편하고,반갑고,복잡하고,비슷하고,반갑고,Seeing the younger sibling on television felt new and pleasant to the writer. “반갑고” fits naturally with “새로운 기분이 들었습니다.”
32,reading,topik_1,connector_logic (59-62),저는 조금 전에 텔레비전을 보고 깜짝 놀랐습니다. 텔레비전에 제 동생이 크게 나왔기 때문입니다. 동생은 테니스 경기장에서 경기를 보고 있었는데 박수를 치면서 웃고 있었습니다. 동생의 모습을 텔레비전에서 본 것은 처음이었습니다. 매일 보는 동생이지만 동생의 얼굴을 텔레비전에서 보니까 반갑고 새로운 기분이 들었습니다.,이 글의 내용과 같은 것을 고르십시오.,동생은 테니스를 보러 경기장에 갔습니다.,저는 박수를 치면서 동생의 모습을 보았습니다.,전에도 텔레비전에서 동생의 얼굴을 보았습니다.,저는 오늘 테니스 경기장에서 동생을 만났습니다.,동생은 테니스를 보러 경기장에 갔습니다.,The passage says the younger sibling was at the tennis stadium watching a match. The other statements are incorrect or contradict the passage.
33,reading,topik_1,announcement_board (63-64),"지하 주차장 청소 안내우리 아파트 지하 주차장 물청소를 다음 주 월요일과 화요일에 할 예정입니다. 청소를 하는 날에는 주차를 할 수 없습니다. 아파트의 다른 주차장을 이용하시기 바랍니다.• 청소 일정• 301동, 302동 : 7월 29일(월)• 303동, 304동 : 7월 30일(화)• 청소 시간• 09:00~18:00",왜 이 글을 썼는지 맞는 것을 고르십시오.,청소 장소를 바꾸려고,청소 계획을 물어보려고,청소 이유를 설명하려고,청소 날짜와 시간을 알리려고,청소 날짜와 시간을 알리려고,The notice was written to inform apartment residents about the parking lot cleaning schedule and cleaning times. The other options do not match the purpose of the announcement.
34,reading,topik_1,announcement_board (63-64),"지하 주차장 청소 안내우리 아파트 지하 주차장 물청소를 다음 주 월요일과 화요일에 할 예정입니다. 청소를 하는 날에는 주차를 할 수 없습니다. 아파트의 다른 주차장을 이용하시기 바랍니다.• 청소 일정• 301동, 302동 : 7월 29일(월)• 303동, 304동 : 7월 30일(화)• 청소 시간• 09:00~18:00",이 글의 내용과 같은 것을 고르십시오.,이틀 동안 주차장 청소를 할 겁니다.,주차장 청소는 화요일에 시작할 겁니다.,지하 주차장 물청소는 아홉 시까지 합니다.,7월 22일까지 다른 주차장을 이용해야 합니다.,이틀 동안 주차장 청소를 할 겁니다.,"The notice states that the parking lot cleaning will take place on Monday and Tuesday, which means it will last for two days. The other statements are incorrect."
35,reading,topik_1,long_reading_comprehension (65-68),"얼음 음료는 여름철 인기 메뉴입니다. 그런데 얼음이 녹아서 물이 되면 음료의 맛이 없어집니다. 그래서 얼음 음료를 만들 때는 천천히 녹는 얼음을 넣으면 좋습니다. 큰 얼음은 작은 얼음보다 천천히 녹고, 오래 얼린 얼음도 잠깐 얼린 얼음보다 천천히 녹습니다. 이런 얼음을 넣으면 ( ㄱ ) 처음 음료의 맛을 오래 즐길 수 있습니다.",ㄱ에 들어갈 알맞은 말을 고르십시오.,마시지만,마시려고,마시기 때문에,마시는 동안에,마시는 동안에,"The sentence means “while drinking, you can enjoy the original taste for a long time.” Therefore, “마시는 동안에” fits naturally in the context."
36,reading,topik_1,long_reading_comprehension (65-68),"얼음 음료는 여름철 인기 메뉴입니다. 그런데 얼음이 녹아서 물이 되면 음료의 맛이 없어집니다. 그래서 얼음 음료를 만들 때는 천천히 녹는 얼음을 넣으면 좋습니다. 큰 얼음은 작은 얼음보다 천천히 녹고, 오래 얼린 얼음도 잠깐 얼린 얼음보다 천천히 녹습니다. 이런 얼음을 넣으면 마시는 동안에 처음 음료의 맛을 오래 즐길 수 있습니다.",이 글의 내용과 같은 것을 고르십시오.,오래 얼린 얼음이 더 빨리 녹습니다.,작은 얼음은 큰 얼음보다 빨리 녹습니다.,큰 얼음을 음료에 넣으면 맛이 금방 달라집니다.,음료 맛은 작은 얼음을 넣을 때 천천히 변합니다.,작은 얼음은 큰 얼음보다 빨리 녹습니다.,"The passage clearly says that large ice melts more slowly than small ice. Therefore, small ice melts faster than large ice."
37,reading,topik_1,long_reading_comprehension (65-68),"태풍은 보통 7월부터 9월까지 많이 생깁니다. 이런 태풍들도 이름이 있는데 그 중에는 한국어로 된 이름도 있습니다. 태풍의 이름은 태풍이 지나가는 곳에 있는 열네 개 나라에서 만들고 있습니다. 한국도 2000년부터 태풍의 이름을 ( ㄱ ), 한국어로 이름을 만들 때는 다른 나라 사람들도 발음하기 쉬운 단어를 고릅니다.",ㄱ에 들어갈 알맞은 말을 고르십시오.,부르려고 합니다,원하고 있습니다,바꾸기로 했습니다,만들기 시작했습니다,만들기 시작했습니다,"The sentence says Korea has been participating since 2000 in creating typhoon names. Therefore, “started making” is the most appropriate expression."
